category,city,gold_merchant,image_url,jumlah_review,jumlah_view,location,presentase_diskon,price,product_id,quantity_sold,rating,shop_name,subcategory,title,url
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/4/3652446/3652446_0defa90b-442e-407d-aec7-4f7d4c3c3c7d_717_717.jpg,6,440,Jakarta,0,89000,356293384,"9, ",5,Beauty_Collection,Kemeja,Baju atasan wanita kemeja wanita katun jumbo 5593,https://www.tokopedia.com/beauty2404/baju-atasan-wanita-kemeja-wanita-katun-jumbo-5593?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D44_ob%3D23_q%3Dbaju+wanita_po%3D41_catid%3D1770
Fashion Wanita,Kota Surakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/6/21/4960351/4960351_8f20e453-8ed6-4bac-b056-5c1aa859605d_600_766.jpg,1,432,Kota Surakarta,0,105000,298951605,"2, ",5,Arumi Batik,Dress Batik,Dress Terusan Tunik Baju Seragam Wanita Batik 2299 Hitam,https://www.tokopedia.com/grosirbatik-solo/dress-terusan-tunik-baju-seragam-wanita-batik-2299-hitam?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D75_ob%3D23_q%3Dbaju+wanita_po%3D60_catid%3D1792
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/3/14/16887490/16887490_c95c0606-86f5-43d3-a60c-1a27e78a26fe_2048_2048.jpg,2,421,Jakarta,0,79999,268152424,"6, ",5,OXPREY59,Kaos,promo kaos lengan panjang pria wanita baju distro long sleeve 1627z,https://www.tokopedia.com/oxprey59/promo-kaos-lengan-panjang-pria-wanita-baju-distro-long-sleeve-1627z?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D31_ob%3D23_q%3Dbaju+wanita_po%3D59_catid%3D1769
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/9/3243312/3243312_f0ebb49d-e633-4f3f-a62c-5606b1653352_640_640.jpg,7,408,Jakarta,0,89900,303870934,"20,",5,Aze store,Maxi Dress,Busana Muslim Wanita - Baju Gamis Syari Maxi Emma Dress Party 22,https://www.tokopedia.com/azestore/busana-muslim-wanita-baju-gamis-syari-maxi-emma-dress-party-22?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D39_ob%3D23_q%3Dbaju+wanita_po%3D29_catid%3D1765
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/8/13/36011276/36011276_3a558ee3-5092-4110-bbf4-02d3ce2726c8_950_950.jpg,15,382,Jakarta,0,24000,318059004,"16,",5,Ramdhanni,Polo Shirt,FASHION PAKAIAN WANITA BELLE FASHION BAJU ATASAN KAOS T-SHIRT,https://www.tokopedia.com/ramdhanni/fashion-pakaian-wanita-belle-fashion-baju-atasan-kaos-t-shirt?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D32_ob%3D23_q%3Dbaju+wanita_po%3D16_catid%3D1774
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/12/13/43526092/43526092_a01d0031-360b-451c-a2f4-79a4538aa476_1024_1024.jpg,54,378,Jakarta,0,171600,374195430,108,5,Hima Hima,Kebaya,Kebaya Wanita Brukat Modern Dress Baju Brokat Murah wisuda wisudah Cew,https://www.tokopedia.com/himahima1/kebaya-wanita-brukat-modern-dress-baju-brokat-murah-wisuda-wisudah-cew?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D20_ob%3D23_q%3Dbaju+wanita_po%3D36_catid%3D1967
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/11/3/0/0_a746182c-d809-4fb9-92e8-d113088efeb7_750_750.jpg,2,378,Jakarta,0,32000,224459941,"7, ",5,Twinz Collections,Daster,Baju tidur wanita/piyama wanita/sleepwear/saten daster,https://www.tokopedia.com/tc080981/baju-tidur-wanita-piyama-wanita-sleepwear-saten-daster?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D23_ob%3D23_q%3Dbaju+wanita_po%3D22_catid%3D1819
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/24/35785336/35785336_50b7022f-ad5f-4456-a5e8-1525928b1942_972_972.jpg,24,374,Jakarta,0,98000,309769391,108,5,Neneng 1,Piyama,BAJU FASHION SATIN MAXMARA MOTIF BUTTERFLY DEWASA WANITA SLEEPWEAR,https://www.tokopedia.com/neneng1/baju-fashion-satin-maxmara-motif-butterfly-dewasa-wanita-sleepwear?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D70_ob%3D23_q%3Dbaju+wanita_po%3D20_catid%3D1817
Fashion Wanita,Kota Surakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/10/7/4960351/4960351_13fbcee1-6a14-4d94-bd9f-eb61996a9008_1022_1090.jpg,1,373,Kota Surakarta,0,150000,215886107,1,5,Arumi Batik,Dress Batik,Dress Terusan Blouse Atasan Baju Seragam Wanita Batik 2054 Tosca,https://www.tokopedia.com/grosirbatik-solo/dress-terusan-blouse-atasan-baju-seragam-wanita-batik-2054-tosca?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D73_ob%3D23_q%3Dbaju+wanita_po%3D32_catid%3D1792
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/17/39044148/39044148_72c21240-4669-4c0a-afc1-00f151f1fdb9_1000_1000.jpg,30,373,Jakarta,0,85000,360647670,"91,",5,YOVITAKU STORE,Kaos,KAOS WANITA USA BAJU ATASAN WANITA TERBARU MURAH GAMIS DRESS,https://www.tokopedia.com/yovitakustore/kaos-wanita-usa-baju-atasan-wanita-terbaru-murah-gamis-dress?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D66_ob%3D23_q%3Dbaju+wanita_po%3D17_catid%3D1769
Fashion Wanita,Kota Bandung,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/3/7/1885482/1885482_cd743d04-d0de-4efe-98c6-6889598d2f6f.jpg,3,364,Kota Bandung,0,149000,153929882,"5, ",5,D&#39;ARD,Kaos,SUPER DISKON !!! Mutif Tunik 143/Baju Wanita Casual,https://www.tokopedia.com/dendiardiansah/super-diskon-mutif-tunik-143baju-wanita-casual?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D75_ob%3D23_q%3Dbaju+wanita_po%3D14_catid%3D1769
Fashion Wanita,Kota Bandung,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/8/2/9219949/9219949_3e7ad7ff-1b8d-4d8f-95cf-9f8d0f1e17a1_1800_1800.jpg,3,362,Kota Bandung,0,47499,309469623,12,4,Multishop_bandung,Sweater,LAYER TWIST - baju wanita - baju rajut - sweater rajut - baju korea,https://www.tokopedia.com/multishop1123/layer-twist-baju-wanita-baju-rajut-sweater-rajut-baju-korea?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D76_ob%3D23_q%3Dbaju+wanita_po%3D26_catid%3D1810
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/8/26/8819876/8819876_6a701643-0496-4fcf-9ba8-f458ed0ed244_1002_806.jpg,2,351,Jakarta,0,139000,204413481,"2, ",5,wiloo,Piyama,baju tidur wanita setelan kaos lengan panjang /cln panjang Green,https://www.tokopedia.com/wiloo/baju-tidur-wanita-setelan-kaos-lengan-panjang-cln-panjang-green?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D41_ob%3D23_q%3Dbaju+wanita_po%3D49_catid%3D1817
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/10/12/2729760/2729760_c2ed7df0-7cb2-4bf5-8e59-deb494bc117d_640_640.jpg,20,351,Jakarta,0,126200,344434562,"40,",5,Youshop Wedrop,Vest,Outwear Wanita Atasan Wanita Outfit Wanita Baju Atasan Terbaru,https://www.tokopedia.com/youshopwedrop/outwear-wanita-atasan-wanita-outfit-wanita-baju-atasan-terbaru?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D46_ob%3D23_q%3Dbaju+wanita_po%3D46_catid%3D1815
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/23/338485694/338485694_daed7b54-9096-4d43-b6f0-2d1dbfb521d8_1280_1280.jpg,3,348,Jakarta,0,33000,338485694,11,5,rollystore,Blouse,baju big size wanita / baju blouse jumbo / baju wanita XXL,https://www.tokopedia.com/rollystore/baju-big-size-wanita-baju-blouse-jumbo-baju-wanita-xxl?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D22_ob%3D23_q%3Dbaju+wanita_po%3D49_catid%3D1771
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/12/12/44490523/44490523_46060011-ed64-4c9b-8b0b-5e273c72d467_1024_1024.jpg,32,347,Jakarta,0,65500,366319191,"97,",5,Toko Afsheen Myesha,Sweater,Sweater Wanita Rajut Cewek Baju Atasan Outer Murah Korea Style Polos,https://www.tokopedia.com/afsheenmyesha1/sweater-wanita-rajut-cewek-baju-atasan-outer-murah-korea-style-polos?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D51_ob%3D23_q%3Dbaju+wanita_po%3D36_catid%3D1810
